Get a Barrow's armor piece;Post a screenshot of you getting a Barrows unique in the submissions channel.
Complete 5 LMS games;Post your before and after LMS log into the submissions channel.
Get 10 pearls from Aerial Fishing;Post a stack of 10 pearls in your invent after fishing them while on Molch Island in the submissions channel. 
Get 20 Sarachnis kc;Post a screenshot of your Sarachnis kc before and after into the submissions channel. 
Do 50 laps of any agility rooftop courses;Post a screenshot of your before and after laps completed at Grace in Burthorpe, in the submissions channel.
Get 200k xp in any skill;XP is tracked from Wise Old Man, however you can also set an xp goal in game and post it in the submissions channel.
Catch 20 imps of any kind;Post your invent of stacked of imps while in Puro-Puro after catching them, in the submissions channel.
Hunt 30 Herbiboar;Post a screenshot of your kc before and after in the submissions channel.
Do 20 rounds of telekinetic pizazz in the Mage Training Arena;Post a screenshot of your Pizazz points before and after, in the submissions channel.
Get 5 Mossy Keys;Post a screenshot of your Mossy Key stack in your invent, or the untradable drop message is still in your chat, in the submissions channel.
Do 5 beginner clues;Post a screenshot of your collection log before and after completing the clues, in the submissions channel.
Get 5 Unidentified Minerals in the Mining Guild;Post a screenshot of the 5 unidentified minerals in your invent while in the Mining Guild, in the submissions channel.
Get 5 Giant Mole kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Get 10 Deranged Archaeologist kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Get 20 Agility Arena tickets;Post a screenshot of your ticket stack while at the ranging guild, in the submissions channel.
Do 10 Mahogany Homes contracts;Post a screenshot of your completed contracts before and after completing, in the submissions channel.
Get 100k Mining xp;XP is tracked from Wise Old Man, however you can also set an xp goal in game and post it in the submissions channel.
Do 5 easy clues;Post a screenshot of your collection log before and after completing the clues, in the submissions channel.
Get 200k xp from Pyramid Plunder;XP is tracked from Wise Old Man, however you can also set an xp goal in game and post it in the submissions channel.
Get 100 points in the Mage Training Arena Alchemist room;Post a screenshot of your Pizazz points before and after, in the submissions channel.
Hand in 5 Pyramid tops from the Pyramid Agility Course;Post a screenshot of your total laps counter while standing near the Pyramid Agility course, in the submissions channel.
Get 200k Woodcutting xp;XP is tracked from Wise Old Man, however you can also set an xp goal in game and post it in the submissions channel.
Get 100k Runecrafting xp;XP is tracked from Wise Old Man, however you can also set an xp goal in game and post it in the submissions channel.
Get 5 Giant Keys;Post a screenshot of your Giant Key stack in your invent, or the untradable drop message is still in your chat, in the submissions channel. 
Get 20 Tempoross permits;Post a screenshot of your total permits in the chatbox after your last Tempoross game in the submissions channel.
Get 50 Abyssal Pearls from GOTR;Post a screenshot of your total perls in your invent after you pull from the rewards guardian in the submissions channel.
Get 20 reward crates from Wintertodt;Post a screenshot of you opening 20 reward crates at the Wintertodt camp bank chest, in the submissions channel.
Gain 500 Mahogany Homes points;Post a screenshot of your completed contracts before and after completing, in the submissions channel.
Get 20 Zalcano kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Get at 10 kc of any of the God Wars Dungeon bosses;Post a screenshot of your kc before and after completing, in the submissions channel.
Get 20 Barrows kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Get 10 Vorkath kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Do 5 mediums clues & 5 easy clues;Post a screenshot of your collection log before and after completing the clues, in the submissions channel.
Catch 200 Sharks;Post a screenshot of your total fish caught counter while standing near a shark fishing hotspot, in the submissions channel.
Get 50 Crazy Archaeologist kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Complete 2 Tombs of Amascut kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Do 10 slayer tasks (must be from either Nieve/Steve/Konar/Duradel/Krystilia);Post a screenshot of your completed Slayer tasks before and after completing, in the submissions channel.
Get 100k mining xp;XP is tracked from Wise Old Man, however you can also set an xp goal in game and post it in the submissions channel.
Get 100 Tithe Farm points;Post a screenshot of your completed points before and after completing, in the submissions channel.
Catch 200 Chinchompas of any kind;Post a screenshot of your stack of caught Chinchompas while in a Chinchompa hunter area, in the submissions channel.
Catch 200 Sharks barehand;Post a screenshot of your total fish caught counter while standing near a shark fishing hotspot without a harpoon in hand, in the submissions channel.
Complete 2 Chambers of Xeric kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Get 10 Kalphite queen kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Complete 5 Gauntlet kc (blue or/and red);Post a screenshot of your kc before and after completing, in the submissions channel.
Get 15 Tempoross kc;Post a screenshot of your kc before and after completing, in the submissions channel.
Get 250k Thieving xp;XP is tracked from Wise Old Man, however you can also set an xp goal in game and post it in the submissions channel.
Complete 30 Mahogany Homes contracts;Post a screenshot of your completed contracts before and after completing, in the submissions channel.
